Pyridine,Aldehyde,Isocyanide,Temperature,Solvent,Catalyst,Time
0.1,0.1,0.1,10,0.5,10.0,5
0.1,0.1,0.1,10,0.5,10.0,10
0.1,0.1,0.1,10,0.5,10.0,15
0.1,0.1,0.1,10,0.5,10.0,30
0.1,0.1,0.1,10,0.5,10.0,60
0.1,0.1,0.1,10,1.0,0.0,5
0.1,0.1,0.1,10,1.0,0.0,10
0.1,0.1,0.1,10,1.0,0.0,15
0.1,0.1,0.1,10,1.0,0.0,30
0.1,0.1,0.1,10,1.0,0.0,60
0.1,0.1,0.1,10,1.0,1.0,5
0.1,0.1,0.1,10,1.0,1.0,10
0.1,0.1,0.1,10,1.0,1.0,15
0.1,0.1,0.1,10,1.0,1.0,30
0.1,0.1,0.1,10,1.0,1.0,60
0.1,0.1,0.1,10,1.0,2.0,5
0.1,0.1,0.1,10,1.0,2.0,10
0.1,0.1,0.1,10,1.0,2.0,15
0.1,0.1,0.1,10,1.0,2.0,30
0.1,0.1,0.1,10,1.0,2.0,60
0.1,0.1,0.1,10,1.0,3.0,5
0.1,0.1,0.1,10,1.0,3.0,10
0.1,0.1,0.1,10,1.0,3.0,15
0.1,0.1,0.1,10,1.0,3.0,30
0.1,0.1,0.1,10,1.0,3.0,60
0.1,0.1,0.1,10,1.0,4.0,5
0.1,0.1,0.1,10,1.0,4.0,10
0.1,0.1,0.1,10,1.0,4.0,15
0.1,0.1,0.1,10,1.0,4.0,30
0.1,0.1,0.1,10,1.0,4.0,60
0.1,0.1,0.1,10,1.0,5.0,5
0.1,0.1,0.1,10,1.0,5.0,10
0.1,0.1,0.1,10,1.0,5.0,15
0.1,0.1,0.1,10,1.0,5.0,30
0.1,0.1,0.1,10,1.0,5.0,60
0.1,0.1,0.1,10,1.0,7.5,5
0.1,0.1,0.1,10,1.0,7.5,10
0.1,0.1,0.1,10,1.0,7.5,15
0.1,0.1,0.1,10,1.0,7.5,30
0.1,0.1,0.1,10,1.0,7.5,60
0.1,0.1,0.1,10,1.0,10.0,5
0.1,0.1,0.1,10,1.0,10.0,10
0.1,0.1,0.1,10,1.0,10.0,15
0.1,0.1,0.1,10,1.0,10.0,30
0.1,0.1,0.1,10,1.0,10.0,60
0.1,0.1,0.1,10,1.5,0.0,5
0.1,0.1,0.1,10,1.5,0.0,10
0.1,0.1,0.1,10,1.5,0.0,15
0.1,0.1,0.1,10,1.5,0.0,30
0.1,0.1,0.1,10,1.5,0.0,60
0.1,0.1,0.1,10,1.5,1.0,5
0.1,0.1,0.1,10,1.5,1.0,10
0.1,0.1,0.1,10,1.5,1.0,15
0.1,0.1,0.1,10,1.5,1.0,30
0.1,0.1,0.1,10,1.5,1.0,60
0.1,0.1,0.1,10,1.5,2.0,5
0.1,0.1,0.1,10,1.5,2.0,10
0.1,0.1,0.1,10,1.5,2.0,15
0.1,0.1,0.1,10,1.5,2.0,30
0.1,0.1,0.1,10,1.5,2.0,60
0.1,0.1,0.1,10,1.5,3.0,5
0.1,0.1,0.1,10,1.5,3.0,10
0.1,0.1,0.1,10,1.5,3.0,15
0.1,0.1,0.1,10,1.5,3.0,30
0.1,0.1,0.1,10,1.5,3.0,60
0.1,0.1,0.1,10,1.5,4.0,5
0.1,0.1,0.1,10,1.5,4.0,10
0.1,0.1,0.1,10,1.5,4.0,15
0.1,0.1,0.1,10,1.5,4.0,30
0.1,0.1,0.1,10,1.5,4.0,60
0.1,0.1,0.1,10,1.5,5.0,5
0.1,0.1,0.1,10,1.5,5.0,10
0.1,0.1,0.1,10,1.5,5.0,15
0.1,0.1,0.1,10,1.5,5.0,30
0.1,0.1,0.1,10,1.5,5.0,60
0.1,0.1,0.1,10,1.5,7.5,5
0.1,0.1,0.1,10,1.5,7.5,10
0.1,0.1,0.1,10,1.5,7.5,15
0.1,0.1,0.1,10,1.5,7.5,30
0.1,0.1,0.1,10,1.5,7.5,60
0.1,0.1,0.1,10,1.5,10.0,5
0.1,0.1,0.1,10,1.5,10.0,10
0.1,0.1,0.1,10,1.5,10.0,15
0.1,0.1,0.1,10,1.5,10.0,30
0.1,0.1,0.1,10,1.5,10.0,60
0.1,0.1,0.1,20,0.1,0.0,5
0.1,0.1,0.1,20,0.1,0.0,10
0.1,0.1,0.1,20,0.1,0.0,15
0.1,0.1,0.1,20,0.1,0.0,30
0.1,0.1,0.1,20,0.1,0.0,60
0.1,0.1,0.1,20,0.1,1.0,5
0.1,0.1,0.1,20,0.1,1.0,10
0.1,0.1,0.1,20,0.1,1.0,15
0.1,0.1,0.1,20,0.1,1.0,30
0.1,0.1,0.1,20,0.1,1.0,60
0.1,0.1,0.1,20,0.1,2.0,5
0.1,0.1,0.1,20,0.1,2.0,10
0.1,0.1,0.1,20,0.1,2.0,15
0.1,0.1,0.1,20,0.1,2.0,30
0.1,0.1,0.1,20,0.1,2.0,60
0.1,0.1,0.1,20,0.1,3.0,5
0.1,0.1,0.1,20,0.1,3.0,10
0.1,0.1,0.1,20,0.1,3.0,15
0.1,0.1,0.1,20,0.1,3.0,30
0.1,0.1,0.1,20,0.1,3.0,60
0.1,0.1,0.1,20,0.1,4.0,5
0.1,0.1,0.1,20,0.1,4.0,10
0.1,0.1,0.1,20,0.1,4.0,15
0.1,0.1,0.1,20,0.1,4.0,30
0.1,0.1,0.1,20,0.1,4.0,60
0.1,0.1,0.1,20,0.1,5.0,5
0.1,0.1,0.1,20,0.1,5.0,10
0.1,0.1,0.1,20,0.1,5.0,15
0.1,0.1,0.1,20,0.1,5.0,30
0.1,0.1,0.1,20,0.1,5.0,60
0.1,0.1,0.1,20,0.1,7.5,5
0.1,0.1,0.1,20,0.1,7.5,10
0.1,0.1,0.1,20,0.1,7.5,15
0.1,0.1,0.1,20,0.1,7.5,30
0.1,0.1,0.1,20,0.1,7.5,60
0.1,0.1,0.1,20,0.1,10.0,5
0.1,0.1,0.1,20,0.1,10.0,10
0.1,0.1,0.1,20,0.1,10.0,15
0.1,0.1,0.1,20,0.1,10.0,30
0.1,0.1,0.1,20,0.1,10.0,60
0.1,0.1,0.1,20,0.25,0.0,5
0.1,0.1,0.1,20,0.25,0.0,10
0.1,0.1,0.1,20,0.25,0.0,15
0.1,0.1,0.1,20,0.25,0.0,30
0.1,0.1,0.1,20,0.25,0.0,60
0.1,0.1,0.1,20,0.25,1.0,5
0.1,0.1,0.1,20,0.25,1.0,10
0.1,0.1,0.1,20,0.25,1.0,15
0.1,0.1,0.1,20,0.25,1.0,30
0.1,0.1,0.1,20,0.25,1.0,60
0.1,0.1,0.1,20,0.25,2.0,5
0.1,0.1,0.1,20,0.25,2.0,10
0.1,0.1,0.1,20,0.25,2.0,15
0.1,0.1,0.1,20,0.25,2.0,30
0.1,0.1,0.1,20,0.25,2.0,60
0.1,0.1,0.1,20,0.25,3.0,5
0.1,0.1,0.1,20,0.25,3.0,10
0.1,0.1,0.1,20,0.25,3.0,15
0.1,0.1,0.1,20,0.25,3.0,30
0.1,0.1,0.1,20,0.25,3.0,60
0.1,0.1,0.1,20,0.25,4.0,5
0.1,0.1,0.1,20,0.25,4.0,10
0.1,0.1,0.1,20,0.25,4.0,15
0.1,0.1,0.1,20,0.25,4.0,30
0.1,0.1,0.1,20,0.25,4.0,60
0.1,0.1,0.1,20,0.25,5.0,5
0.1,0.1,0.1,20,0.25,5.0,10
0.1,0.1,0.1,20,0.25,5.0,15
0.1,0.1,0.1,20,0.25,5.0,30
0.1,0.1,0.1,20,0.25,5.0,60
0.1,0.1,0.1,20,0.25,7.5,5
0.1,0.1,0.1,20,0.25,7.5,10
0.1,0.1,0.1,20,0.25,7.5,15
0.1,0.1,0.1,20,0.25,7.5,30
0.1,0.1,0.1,20,0.25,7.5,60
0.1,0.1,0.1,20,0.25,10.0,5
0.1,0.1,0.1,20,0.25,10.0,10
0.1,0.1,0.1,20,0.25,10.0,15
0.1,0.1,0.1,20,0.25,10.0,30
0.1,0.1,0.1,20,0.25,10.0,60
0.1,0.1,0.1,20,0.5,0.0,5
0.1,0.1,0.1,20,0.5,0.0,10
0.1,0.1,0.1,20,0.5,0.0,15
0.1,0.1,0.1,20,0.5,0.0,30
0.1,0.1,0.1,20,0.5,0.0,60
0.1,0.1,0.1,20,0.5,1.0,5
0.1,0.1,0.1,20,0.5,1.0,10
0.1,0.1,0.1,20,0.5,1.0,15
0.1,0.1,0.1,20,0.5,1.0,30
0.1,0.1,0.1,20,0.5,1.0,60
0.1,0.1,0.1,20,0.5,2.0,5
0.1,0.1,0.1,20,0.5,2.0,10
0.1,0.1,0.1,20,0.5,2.0,15
0.1,0.1,0.1,20,0.5,2.0,30
0.1,0.1,0.1,20,0.5,2.0,60
0.1,0.1,0.1,20,0.5,3.0,5
0.1,0.1,0.1,20,0.5,3.0,10
0.1,0.1,0.1,20,0.5,3.0,15
0.1,0.1,0.1,20,0.5,3.0,30
0.1,0.1,0.1,20,0.5,3.0,60
0.1,0.1,0.1,20,0.5,4.0,5
0.1,0.1,0.1,20,0.5,4.0,10
0.1,0.1,0.1,20,0.5,4.0,15
0.1,0.1,0.1,20,0.5,4.0,30
0.1,0.1,0.1,20,0.5,4.0,60
0.1,0.1,0.1,20,0.5,5.0,5
0.1,0.1,0.1,20,0.5,5.0,10
0.1,0.1,0.1,20,0.5,5.0,15
0.1,0.1,0.1,20,0.5,5.0,30
0.1,0.1,0.1,20,0.5,5.0,60
0.1,0.1,0.1,20,0.5,7.5,5
0.1,0.1,0.1,20,0.5,7.5,10
0.1,0.1,0.1,20,0.5,7.5,15
0.1,0.1,0.1,20,0.5,7.5,30
0.1,0.1,0.1,20,0.5,7.5,60
0.1,0.1,0.1,20,0.5,10.0,5
0.1,0.1,0.1,20,0.5,10.0,10
0.1,0.1,0.1,20,0.5,10.0,15
0.1,0.1,0.1,20,0.5,10.0,30
0.1,0.1,0.1,20,0.5,10.0,60
0.1,0.1,0.1,20,1.0,0.0,5
0.1,0.1,0.1,20,1.0,0.0,10
0.1,0.1,0.1,20,1.0,0.0,15
0.1,0.1,0.1,20,1.0,0.0,30
0.1,0.1,0.1,20,1.0,0.0,60
0.1,0.1,0.1,20,1.0,1.0,5
0.1,0.1,0.1,20,1.0,1.0,10
0.1,0.1,0.1,20,1.0,1.0,15
0.1,0.1,0.1,20,1.0,1.0,30
0.1,0.1,0.1,20,1.0,1.0,60
0.1,0.1,0.1,20,1.0,2.0,5
0.1,0.1,0.1,20,1.0,2.0,10
0.1,0.1,0.1,20,1.0,2.0,15
0.1,0.1,0.1,20,1.0,2.0,30
0.1,0.1,0.1,20,1.0,2.0,60
0.1,0.1,0.1,20,1.0,3.0,5
0.1,0.1,0.1,20,1.0,3.0,10
0.1,0.1,0.1,20,1.0,3.0,15
0.1,0.1,0.1,20,1.0,3.0,30
0.1,0.1,0.1,20,1.0,3.0,60
0.1,0.1,0.1,20,1.0,4.0,5
0.1,0.1,0.1,20,1.0,4.0,10
0.1,0.1,0.1,20,1.0,4.0,15
0.1,0.1,0.1,20,1.0,4.0,30
0.1,0.1,0.1,20,1.0,4.0,60
0.1,0.1,0.1,20,1.0,5.0,5
0.1,0.1,0.1,20,1.0,5.0,10
0.1,0.1,0.1,20,1.0,5.0,15
0.1,0.1,0.1,20,1.0,5.0,30
0.1,0.1,0.1,20,1.0,5.0,60
0.1,0.1,0.1,20,1.0,7.5,5
0.1,0.1,0.1,20,1.0,7.5,10
0.1,0.1,0.1,20,1.0,7.5,15
0.1,0.1,0.1,20,1.0,7.5,30
0.1,0.1,0.1,20,1.0,7.5,60
0.1,0.1,0.1,20,1.0,10.0,5
0.1,0.1,0.1,20,1.0,10.0,10
0.1,0.1,0.1,20,1.0,10.0,15
0.1,0.1,0.1,20,1.0,10.0,30
0.1,0.1,0.1,20,1.0,10.0,60
0.1,0.1,0.1,20,1.5,0.0,5
0.1,0.1,0.1,20,1.5,0.0,10
0.1,0.1,0.1,20,1.5,0.0,15
0.1,0.1,0.1,20,1.5,0.0,30
0.1,0.1,0.1,20,1.5,0.0,60
0.1,0.1,0.1,20,1.5,1.0,5
0.1,0.1,0.1,20,1.5,1.0,10
0.1,0.1,0.1,20,1.5,1.0,15
0.1,0.1,0.1,20,1.5,1.0,30
0.1,0.1,0.1,20,1.5,1.0,60
0.1,0.1,0.1,20,1.5,2.0,5
0.1,0.1,0.1,20,1.5,2.0,10
0.1,0.1,0.1,20,1.5,2.0,15
0.1,0.1,0.1,20,1.5,2.0,30
0.1,0.1,0.1,20,1.5,2.0,60
0.1,0.1,0.1,20,1.5,3.0,5
0.1,0.1,0.1,20,1.5,3.0,10
0.1,0.1,0.1,20,1.5,3.0,15
0.1,0.1,0.1,20,1.5,3.0,30
0.1,0.1,0.1,20,1.5,3.0,60
0.1,0.1,0.1,20,1.5,4.0,5
0.1,0.1,0.1,20,1.5,4.0,10
0.1,0.1,0.1,20,1.5,4.0,15
0.1,0.1,0.1,20,1.5,4.0,30
0.1,0.1,0.1,20,1.5,4.0,60
0.1,0.1,0.1,20,1.5,5.0,5
0.1,0.1,0.1,20,1.5,5.0,10
0.1,0.1,0.1,20,1.5,5.0,15
0.1,0.1,0.1,20,1.5,5.0,30
0.1,0.1,0.1,20,1.5,5.0,60
0.1,0.1,0.1,20,1.5,7.5,5
0.1,0.1,0.1,20,1.5,7.5,10
0.1,0.1,0.1,20,1.5,7.5,15
0.1,0.1,0.1,20,1.5,7.5,30
0.1,0.1,0.1,20,1.5,7.5,60
0.1,0.1,0.1,20,1.5,10.0,5
0.1,0.1,0.1,20,1.5,10.0,10
0.1,0.1,0.1,20,1.5,10.0,15
0.1,0.1,0.1,20,1.5,10.0,30
0.1,0.1,0.1,20,1.5,10.0,60
0.1,0.1,0.1,40,0.1,0.0,5
0.1,0.1,0.1,40,0.1,0.0,10
0.1,0.1,0.1,40,0.1,0.0,15
0.1,0.1,0.1,40,0.1,0.0,30
0.1,0.1,0.1,40,0.1,0.0,60
0.1,0.1,0.1,40,0.1,1.0,5
0.1,0.1,0.1,40,0.1,1.0,10
0.1,0.1,0.1,40,0.1,1.0,15
0.1,0.1,0.1,40,0.1,1.0,30
0.1,0.1,0.1,40,0.1,1.0,60
0.1,0.1,0.1,40,0.1,2.0,5
0.1,0.1,0.1,40,0.1,2.0,10
0.1,0.1,0.1,40,0.1,2.0,15
0.1,0.1,0.1,40,0.1,2.0,30
0.1,0.1,0.1,40,0.1,2.0,60
0.1,0.1,0.1,40,0.1,3.0,5
0.1,0.1,0.1,40,0.1,3.0,10
0.1,0.1,0.1,40,0.1,3.0,15
0.1,0.1,0.1,40,0.1,3.0,30
0.1,0.1,0.1,40,0.1,3.0,60
0.1,0.1,0.1,40,0.1,4.0,5
0.1,0.1,0.1,40,0.1,4.0,10
0.1,0.1,0.1,40,0.1,4.0,15
0.1,0.1,0.1,40,0.1,4.0,30
0.1,0.1,0.1,40,0.1,4.0,60
0.1,0.1,0.1,40,0.1,5.0,5
0.1,0.1,0.1,40,0.1,5.0,10
0.1,0.1,0.1,40,0.1,5.0,15
0.1,0.1,0.1,40,0.1,5.0,30
0.1,0.1,0.1,40,0.1,5.0,60
0.1,0.1,0.1,40,0.1,7.5,5
0.1,0.1,0.1,40,0.1,7.5,10
0.1,0.1,0.1,40,0.1,7.5,15
0.1,0.1,0.1,40,0.1,7.5,30
0.1,0.1,0.1,40,0.1,7.5,60
0.1,0.1,0.1,40,0.1,10.0,5
0.1,0.1,0.1,40,0.1,10.0,10
0.1,0.1,0.1,40,0.1,10.0,15
0.1,0.1,0.1,40,0.1,10.0,30
0.1,0.1,0.1,40,0.1,10.0,60
0.1,0.1,0.1,40,0.25,0.0,5
0.1,0.1,0.1,40,0.25,0.0,10
0.1,0.1,0.1,40,0.25,0.0,15
0.1,0.1,0.1,40,0.25,0.0,30
0.1,0.1,0.1,40,0.25,0.0,60
0.1,0.1,0.1,40,0.25,1.0,5
0.1,0.1,0.1,40,0.25,1.0,10
0.1,0.1,0.1,40,0.25,1.0,15
0.1,0.1,0.1,40,0.25,1.0,30
0.1,0.1,0.1,40,0.25,1.0,60
0.1,0.1,0.1,40,0.25,2.0,5
0.1,0.1,0.1,40,0.25,2.0,10
0.1,0.1,0.1,40,0.25,2.0,15
0.1,0.1,0.1,40,0.25,2.0,30
0.1,0.1,0.1,40,0.25,2.0,60
0.1,0.1,0.1,40,0.25,3.0,5
0.1,0.1,0.1,40,0.25,3.0,10
0.1,0.1,0.1,40,0.25,3.0,15
0.1,0.1,0.1,40,0.25,3.0,30
0.1,0.1,0.1,40,0.25,3.0,60
0.1,0.1,0.1,40,0.25,4.0,5
0.1,0.1,0.1,40,0.25,4.0,10
0.1,0.1,0.1,40,0.25,4.0,15
0.1,0.1,0.1,40,0.25,4.0,30
0.1,0.1,0.1,40,0.25,4.0,60
0.1,0.1,0.1,40,0.25,5.0,5
0.1,0.1,0.1,40,0.25,5.0,10
0.1,0.1,0.1,40,0.25,5.0,15
0.1,0.1,0.1,40,0.25,5.0,30
0.1,0.1,0.1,40,0.25,5.0,60
0.1,0.1,0.1,40,0.25,7.5,5
0.1,0.1,0.1,40,0.25,7.5,10
0.1,0.1,0.1,40,0.25,7.5,15
0.1,0.1,0.1,40,0.25,7.5,30
0.1,0.1,0.1,40,0.25,7.5,60
0.1,0.1,0.1,40,0.25,10.0,5
0.1,0.1,0.1,40,0.25,10.0,10
0.1,0.1,0.1,40,0.25,10.0,15
0.1,0.1,0.1,40,0.25,10.0,30
0.1,0.1,0.1,40,0.25,10.0,60
0.1,0.1,0.1,40,0.5,0.0,5
0.1,0.1,0.1,40,0.5,0.0,10
0.1,0.1,0.1,40,0.5,0.0,15
0.1,0.1,0.1,40,0.5,0.0,30
0.1,0.1,0.1,40,0.5,0.0,60
0.1,0.1,0.1,40,0.5,1.0,5
0.1,0.1,0.1,40,0.5,1.0,10
0.1,0.1,0.1,40,0.5,1.0,15
0.1,0.1,0.1,40,0.5,1.0,30
0.1,0.1,0.1,40,0.5,1.0,60
0.1,0.1,0.1,40,0.5,2.0,5
0.1,0.1,0.1,40,0.5,2.0,10
0.1,0.1,0.1,40,0.5,2.0,15
0.1,0.1,0.1,40,0.5,2.0,30
0.1,0.1,0.1,40,0.5,2.0,60
0.1,0.1,0.1,40,0.5,3.0,5
0.1,0.1,0.1,40,0.5,3.0,10
0.1,0.1,0.1,40,0.5,3.0,15
0.1,0.1,0.1,40,0.5,3.0,30
0.1,0.1,0.1,40,0.5,3.0,60
0.1,0.1,0.1,40,0.5,4.0,5
0.1,0.1,0.1,40,0.5,4.0,10
0.1,0.1,0.1,40,0.5,4.0,15
0.1,0.1,0.1,40,0.5,4.0,30
0.1,0.1,0.1,40,0.5,4.0,60
0.1,0.1,0.1,40,0.5,5.0,5
0.1,0.1,0.1,40,0.5,5.0,10
0.1,0.1,0.1,40,0.5,5.0,15
0.1,0.1,0.1,40,0.5,5.0,30
0.1,0.1,0.1,40,0.5,5.0,60
0.1,0.1,0.1,40,0.5,7.5,5
0.1,0.1,0.1,40,0.5,7.5,10
0.1,0.1,0.1,40,0.5,7.5,15
0.1,0.1,0.1,40,0.5,7.5,30
0.1,0.1,0.1,40,0.5,7.5,60
0.1,0.1,0.1,40,0.5,10.0,5
0.1,0.1,0.1,40,0.5,10.0,10
0.1,0.1,0.1,40,0.5,10.0,15
0.1,0.1,0.1,40,0.5,10.0,30
0.1,0.1,0.1,40,0.5,10.0,60
0.1,0.1,0.1,40,1.0,0.0,5
0.1,0.1,0.1,40,1.0,0.0,10
0.1,0.1,0.1,40,1.0,0.0,15
0.1,0.1,0.1,40,1.0,0.0,30
0.1,0.1,0.1,40,1.0,0.0,60
0.1,0.1,0.1,40,1.0,1.0,5
0.1,0.1,0.1,40,1.0,1.0,10
0.1,0.1,0.1,40,1.0,1.0,15
0.1,0.1,0.1,40,1.0,1.0,30
0.1,0.1,0.1,40,1.0,1.0,60
0.1,0.1,0.1,40,1.0,2.0,5
0.1,0.1,0.1,40,1.0,2.0,10
0.1,0.1,0.1,40,1.0,2.0,15
0.1,0.1,0.1,40,1.0,2.0,30
0.1,0.1,0.1,40,1.0,2.0,60
0.1,0.1,0.1,40,1.0,3.0,5
0.1,0.1,0.1,40,1.0,3.0,10
0.1,0.1,0.1,40,1.0,3.0,15
0.1,0.1,0.1,40,1.0,3.0,30
0.1,0.1,0.1,40,1.0,3.0,60
0.1,0.1,0.1,40,1.0,4.0,5
0.1,0.1,0.1,40,1.0,4.0,10
0.1,0.1,0.1,40,1.0,4.0,15
0.1,0.1,0.1,40,1.0,4.0,30
0.1,0.1,0.1,40,1.0,4.0,60
0.1,0.1,0.1,40,1.0,5.0,5
0.1,0.1,0.1,40,1.0,5.0,10
0.1,0.1,0.1,40,1.0,5.0,15
0.1,0.1,0.1,40,1.0,5.0,30
0.1,0.1,0.1,40,1.0,5.0,60
0.1,0.1,0.1,40,1.0,7.5,5
0.1,0.1,0.1,40,1.0,7.5,10
0.1,0.1,0.1,40,1.0,7.5,15
0.1,0.1,0.1,40,1.0,7.5,30
0.1,0.1,0.1,40,1.0,7.5,60
0.1,0.1,0.1,40,1.0,10.0,5
0.1,0.1,0.1,40,1.0,10.0,10
0.1,0.1,0.1,40,1.0,10.0,15
0.1,0.1,0.1,40,1.0,10.0,30
0.1,0.1,0.1,40,1.0,10.0,60
0.1,0.1,0.1,40,1.5,0.0,5
0.1,0.1,0.1,40,1.5,0.0,10
0.1,0.1,0.1,40,1.5,0.0,15
0.1,0.1,0.1,40,1.5,0.0,30
0.1,0.1,0.1,40,1.5,0.0,60
0.1,0.1,0.1,40,1.5,1.0,5
0.1,0.1,0.1,40,1.5,1.0,10
0.1,0.1,0.1,40,1.5,1.0,15
0.1,0.1,0.1,40,1.5,1.0,30
0.1,0.1,0.1,40,1.5,1.0,60
0.1,0.1,0.1,40,1.5,2.0,5
0.1,0.1,0.1,40,1.5,2.0,10
0.1,0.1,0.1,40,1.5,2.0,15
0.1,0.1,0.1,40,1.5,2.0,30
0.1,0.1,0.1,40,1.5,2.0,60
0.1,0.1,0.1,40,1.5,3.0,5
0.1,0.1,0.1,40,1.5,3.0,10
0.1,0.1,0.1,40,1.5,3.0,15
0.1,0.1,0.1,40,1.5,3.0,30
0.1,0.1,0.1,40,1.5,3.0,60
